date,trade,conf,n,risk_usd,spot_in,spot_out,iv_in,iv_out,fc_mean,fc_p95,fc_skew,fc_kurt,rv_cons,vrp_pct,regime,prob_turb,pnl,capital,reason
2023-07-11,SELL_SMALL,0.45,5,1744.47,426.58,428.53,0.115,0.117,0.10409,0.17187,1.276,4.9899,0.09019,0.09489,0,0.0282,215.48,1023209.64,VRP(w)=+9.5% | IV>5RV
2023-07-12,SELL_STRADDLE,0.6,15,5396.11,432.34,431.98,0.117,0.0938,0.10409,0.17187,1.276,4.9899,0.09104,0.11037,0,0.0282,2043.43,1025253.07,VRP=+11.0% | IV>5RV
2023-07-13,NO_TRADE,0.0,0,0.0,433.8,435.41,0.0938,0.1013,0.10601,0.18533,1.7666,7.2391,0.09395,-0.13015,0,0.1042,0.0,1025253.07,
2023-07-14,NO_TRADE,0.15,0,0.0,436.3,435.14,0.1013,0.099,0.10601,0.18533,1.7666,7.2391,0.09886,-0.04647,0,0.1042,0.0,1025253.07,IV>4RV
2023-07-17,NO_TRADE,0.15,0,0.0,434.99,436.65,0.099,0.1109,0.10601,0.18533,1.7666,7.2391,0.09783,-0.07079,0,0.1042,0.0,1025253.07,IV>4RV
2023-07-18,NO_TRADE,0.3,0,0.0,436.32,439.89,0.1109,0.1115,0.10601,0.18533,1.7666,7.2391,0.09242,0.04411,0,0.1042,0.0,1025253.07,IV>5RV
2023-07-19,NO_TRADE,0.3,0,0.0,440.69,440.87,0.1115,0.1136,0.10601,0.18533,1.7666,7.2391,0.09414,0.04926,0,0.1042,0.0,1025253.07,IV>5RV
2023-07-20,SELL_SMALL,0.42,9,3198.51,439.87,437.94,0.1136,0.1157,0.09652,0.15866,0.9443,2.3199,0.09139,0.15036,1,0.9863,465.81,1025718.88,VRP=+15.0% | IV>5RV | k=2.3 | TURB_PENALTY
2023-07-21,SELL_SMALL,0.42,10,3617.82,439.67,437.94,0.1157,0.105,0.09652,0.15866,0.9443,2.3199,0.09167,0.16578,1,0.9863,943.46,1026662.34,VRP=+16.6% | IV>5RV | k=2.3 | TURB_PENALTY
2023-07-24,NO_TRADE,0.33,0,0.0,439.1,439.9,0.105,0.1141,0.09652,0.15866,0.9443,2.3199,0.08991,0.08077,1,0.9863,0.0,1026662.34,VRP(w)=+8.1% | IV>5RV | k=2.3 | TURB_PENALTY
2023-07-25,SELL_SMALL,0.42,9,3210.8,439.63,441.1,0.1141,0.1149,0.09652,0.15866,0.9443,2.3199,0.0872,0.15408,1,0.9863,603.86,1027266.2,VRP=+15.4% | IV>5RV | k=2.3 | TURB_PENALTY
2023-07-26,SELL_SMALL,0.42,10,3596.88,440.16,441.17,0.1149,0.0974,0.09652,0.15866,0.9443,2.3199,0.08654,0.15997,1,0.9863,965.11,1028231.31,VRP=+16.0% | IV>5RV | k=2.3 | TURB_PENALTY
2023-07-27,NO_TRADE,0.33,0,0.0,444.57,438.24,0.0974,0.1147,0.08835,0.14463,0.8651,2.2758,0.08222,0.09297,1,0.9914,0.0,1028231.31,VRP(w)=+9.3% | IV>5RV | k=2.3 | TURB_PENALTY
2023-07-28,SELL_SMALL,0.42,14,5042.48,441.53,442.54,0.1147,0.0923,0.08835,0.14463,0.8651,2.2758,0.0804,0.22977,1,0.9914,869.75,1029101.06,VRP=+23.0% | IV>5RV | k=2.3 | TURB_PENALTY
2023-07-31,NO_TRADE,0.15,0,0.0,443.01,443.38,0.0923,0.1062,0.08835,0.14463,0.8651,2.2758,0.08263,0.04285,1,0.9914,0.0,1029101.06,IV>4RV | k=2.3 | TURB_PENALTY
2023-08-01,SELL_SMALL,0.42,11,3671.94,441.91,442.11,0.1062,0.1101,0.08835,0.14463,0.8651,2.2758,0.08347,0.16812,1,0.9914,863.95,1029965.01,VRP=+16.8% | IV>5RV | k=2.3 | TURB_PENALTY
2023-08-02,SELL_SMALL,0.42,13,4468.88,438.98,435.96,0.1101,0.134,0.08835,0.14463,0.8651,2.2758,0.08441,0.19759,1,0.9914,-510.85,1029454.16,VRP=+19.8% | IV>5RV | k=2.3 | TURB_PENALTY
2023-08-03,SELL_STRADDLE,0.7,23,9509.62,433.94,434.71,0.134,0.1306,0.11918,0.20539,0.5785,0.2702,0.08376,0.11063,0,0.2183,2169.45,1031623.61,VRP=+11.1% | IV>5RV | k=0.3
2023-08-04,SELL_SMALL,0.55,7,2837.75,436.53,432.74,0.1306,0.1409,0.11918,0.20539,0.5785,0.2702,0.08658,0.08748,0,0.2183,-267.54,1031356.07,VRP(w)=+8.7% | IV>5RV | k=0.3
2023-08-07,SELL_STRADDLE,0.7,31,13496.74,434.58,436.52,0.1409,0.1268,0.11918,0.20539,0.5785,0.2702,0.08775,0.15418,0,0.2183,3476.79,1034832.86,VRP=+15.4% | IV>5RV | k=0.3
2023-08-08,SELL_SMALL,0.55,5,1956.53,433.97,434.62,0.1268,0.1281,0.11918,0.20539,0.5785,0.2702,0.09055,0.06013,0,0.2183,139.47,1034972.33,VRP(w)=+6.0% | IV>5RV | k=0.3
2023-08-09,SELL_SMALL,0.55,6,2376.91,434.89,431.72,0.1281,0.1333,0.11918,0.20539,0.5785,0.2702,0.09232,0.06967,0,0.2183,42.06,1035014.39,VRP(w)=+7.0% | IV>5RV | k=0.3
2023-08-10,SELL_STRADDLE,0.6,30,12343.26,434.08,431.87,0.1333,0.1338,0.10333,0.18385,1.4619,4.2746,0.09452,0.22481,0,0.0703,-542.67,1034471.72,VRP=+22.5% | IV>5RV
2023-08-11,SELL_STRADDLE,0.6,30,12272.85,429.99,431.62,0.1338,0.1163,0.10333,0.18385,1.4619,4.2746,0.09321,0.2277,0,0.0703,3365.08,1037836.8,VRP=+22.8% | IV>5RV
2023-08-14,SELL_STRADDLE,0.6,17,6056.04,430.7,434.0,0.1163,0.1257,0.10333,0.18385,1.4619,4.2746,0.0894,0.11149,0,0.0703,-692.43,1037144.37,VRP=+11.1% | IV>5RV
2023-08-15,SELL_STRADDLE,0.6,25,9658.72,432.22,428.95,0.1257,0.1456,0.10333,0.18385,1.4619,4.2746,0.08916,0.17794,0,0.0703,-653.95,1036490.42,VRP=+17.8% | IV>5RV
2023-08-16,SELL_STRADDLE,0.6,36,15970.35,428.53,425.8,0.1456,0.1436,0.10333,0.18385,1.4619,4.2746,0.09041,0.29029,0,0.0703,2366.63,1038857.05,VRP=+29.0% | IV>5RV
2023-08-17,SELL_STRADDLE,0.6,34,14832.41,427.27,422.55,0.1436,0.1547,0.10186,0.19452,1.7871,4.9988,0.09633,0.29065,0,0.1604,-2777.62,1036079.43,VRP=+29.1% | IV>5RV
